product_id,forecast_next_7
10_13,586.28
10_15,608.95
10_18,582.23
10_22,566.72
10_25,551.95
10_28,614.26
10_38,573.35
10_45,550.8
2_10,583.26
2_11,562.36
2_12,554.13
2_13,669.49
2_15,696.72
2_18,655.47
2_22,647.94
2_25,664.84
2_28,700.24
2_29,552.85
2_33,531.95
2_36,635.09
2_38,663.36
2_45,676.74
2_8,654.79
3_13,617.29
3_15,611.87
3_18,599.38
3_22,555.22
3_25,577.65
3_28,593.94
3_38,568.67
3_45,597.64
4_13,581.71
4_15,583.09
4_18,543.77
4_28,575.19
8_10,542.43
8_13,630.78
8_15,658.31
8_18,626.6
8_22,590.43
8_25,622.05
8_28,656.12
8_36,609.69
8_38,622.97
8_45,602.41
8_8,574.09
9_13,544.4
9_15,544.23
9_18,526.23
9_28,589.2
