product_id,inventory
10_13,1344
10_15,1371
10_18,1411
10_22,1301
10_25,1236
10_28,1387
10_38,1297
10_45,1273
2_10,1364
2_11,1295
2_12,1222
2_13,1534
2_15,1675
2_18,1538
2_22,1527
2_25,1425
2_28,1568
2_29,1252
2_33,1292
2_36,1379
2_38,1485
2_45,1507
2_8,1451
3_13,1442
3_15,1385
3_18,1405
3_22,1268
3_25,1279
3_28,1501
3_38,1351
3_45,1258
4_13,1268
4_15,1369
4_18,1324
4_28,1292
8_10,1288
8_13,1495
8_15,1534
8_18,1494
8_22,1379
8_25,1433
8_28,1567
8_36,1399
8_38,1448
8_45,1460
8_8,1357
9_13,1306
9_15,1276
9_18,1257
9_28,1388
